#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-25T22:34:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b58f6c92355f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/810/14/highlat
#-nav=cat:J/ApJ/810/14&tab:{J/ApJ/810/14/highlat}&key:source=J/ApJ/810/14/highlat&HTTPPRM:&&-ref=VIZ5b58f6c92355f&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=3FGL&-out=VHE&-out=CName&-out=RAJ2000&-out=DEJ2000&-out=Sep&-out=PosErr&-out=SpCl&-out=z&-out=FRad&-out=n_FRad&-out=FX&-out=Vmag1&-out=Vmag2&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/810/14/highlat
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/810/14/highlat
#-out=3FGL
#-out=VHE
#-out=CName
#-out=RAJ2000
#-out=DEJ2000
#-out=Sep
#-out=PosErr
#-out=SpCl
#-out=z
#-out=FRad
#-out=n_FRad
#-out=FX
#-out=Vmag1
#-out=Vmag2
#

#RESOURCE=yCat_18100014
#Name: J/ApJ/810/14
#Title: Third catalog of LAT-detected AGNs (3LAC) (Ackermann+, 2015)
#Table	J_ApJ_810_14_highlat:
#Name: J/ApJ/810/14/highlat
#Title: High latitude (|b|>10deg) 3LAC full  sample and fluxes
#Column	3FGL	(A13)	3FGL Source Name (JHHMM.m+DDMMa)	[ucd=meta.id;meta.main]
#Column	VHE	(I3)	Simbad column added by the CDS [NULL integer written as an empty string]	[ucd=meta.code]
#Column	CName	(a26)	Name of the counterpart source	[ucd=meta.id.cross]
#Column	RAJ2000	(F9.5)	Radio counterpart right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Radio counterpart declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Sep	(F6.3)	[0/0.4] Angular separation with counterpart source	[ucd=meta.id.assoc;pos.angDistance]
#Column	PosErr	(F6.3)	[0/0.6] 95% error radius	[ucd=stat.error;phys.angSize]
#Column	SpCl	(a7)	Optical class (G1)	[ucd=src.class]
#Column	z	(F8.5)	[0.001/3.2]? Redshift	[ucd=src.redshift]
#Column	FRad	(F9.2)	? Radio flux	[ucd=phot.flux.density;em.radio]
#Column	n_FRad	(A1)	Flag on FRad (G4)	[ucd=meta.note]
#Column	FX	(F8.3)	? X-ray flux; units of 1e-13erg/cm2/s	[ucd=phot.flux;em.X-ray]
#Column	Vmag1	(F6.3)	? USNO V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Vmag2	(F6.3)	? SDSS V band magnitude	[ucd=phot.mag;em.opt.V]
3FGL	VHE	CName	RAJ2000	DEJ2000	Sep	PosErr	SpCl	z	FRad	n_FRad	FX	Vmag1	Vmag2
J0525.3-4558 	  0	PKS 0524-460              	081.38083	-45.96519	 0.035	 0.102	fsrq   	 1.47900	  2063.00	S	   9.150	16.104	
J0525.6-6013 	  0	SUMSS J052542-601341      	081.42521	-60.22828	 0.007	 0.038	bcu III	        	    20.80	S	  10.200	19.861	
J0525.8-2014 	  0	PMN J0525-2010            	081.36576	-20.18022	 0.105	 0.122	bcu III	        	   230.55	N	        	11.197	
J0526.2-4829 	  0	PKS 0524-485              	081.56946	-48.51022	 0.012	 0.041	fsrq   	 1.29900	   382.70	S	        	19.844	
J0526.6+6321 	  0	GB6 J0526+6317            	081.52797	+63.29139	 0.090	 0.144	bcu II 	        	    82.04	N	        	20.296	
J0529.1+0933 	  0	GB6 J0529+0934            	082.26067	+09.57652	 0.033	 0.068	bcu II 	        	    30.72	N	 215.000	18.832	
J0529.2-5917 	  0	1RXS J052846.9-592000     	082.19192	-59.33433	 0.065	 0.090	bll    	        	    20.00	S	        	17.847	
J0529.8-7242 	  0	PKS 0530-727              	082.37518	-72.75792	 0.048	 0.074	bcu II 	        	   275.80	S	   3.330	17.774	
J0530.8+1330 	  0	PKS 0528+134              	082.73507	+13.53199	 0.023	 0.041	fsrq   	 2.07000	  1556.79	N	  37.500	19.679	
J0532.0-4827 	  0	PMN J0531-4827            	082.99423	-48.45999	 0.004	 0.016	bcu II 	        	   161.70	S	   2.260	      	
J0532.7+0732 	  0	OG 050                    	083.16249	+07.54537	 0.014	 0.025	fsrq   	 1.25400	  2729.33	N	        	18.379	
J0533.0-3939 	  0	PKS 0531-397              	083.23827	-39.68584	 0.026	 0.159	bcu II 	        	   163.80	S	        	21.650	
J0533.6-8323 	  0	PKS 0541-834              	083.40984	-83.40993	 0.025	 0.050	fsrq   	 0.77400	    85.80	S	        	20.640	
J0535.6-2749 	  0	PMN J0535-2751            	083.96500	-27.86546	 0.063	 0.198	bcu II 	        	   180.76	N	        	      	
J0537.4-5717 	  0	SUMSS J053748-571828      	084.45321	-57.30803	 0.051	 0.061	bll    	 1.18000	   102.60	S	   3.700	17.570	
J0538.4-3909 	  0	NVSS J053810-390844       	084.54308	-39.14560	 0.055	 0.073	bcu II 	        	    24.38	N	  15.000	18.225	
J0538.8-4405 	  0	PKS 0537-441              	084.70984	-44.08582	 0.001	 0.009	bll    	 0.89200	  3524.00	S	  45.300	15.860	
J0540.0-2837 	  0	PKS 0537-286              	084.97617	-28.66554	 0.050	 0.075	fsrq   	 3.10400	   862.66	N	  14.600	      	
J0540.4+5823 	  0	GB6 J0540+5823            	085.12504	+58.39402	 0.004	 0.028	bll    	        	    29.94	N	 134.000	17.220	
J0540.5-5416 	  0	PKS 0539-543              	085.19103	-54.30614	 0.045	 0.094	fsrq   	 1.18500	   382.30	S	        	17.467	
J0542.2-8737 	  0	SUMSS J054923-874001      	087.39070	-87.66708	 0.090	 0.069	bcu III	        	    30.90	S	        	17.964	
J0542.5-0907 	  0	PMN J0542-0913            	085.73282	-09.22528	 0.140	 0.174	bcu III	        	   297.00	A	        	      	
J0543.9-5531 	  0	1RXS J054357.3-553206     	085.98671	-55.53442	 0.006	 0.023	bll    	 0.27300	    43.40	S	 252.000	16.332	
J0550.6-3217 	  1	PKS 0548-322              	087.66904	-32.27125	 0.015	 0.049	bll    	 0.06900	   344.75	N	 512.000	12.253	
J0553.5-2036 	  0	NVSS J055333-203417       	088.38809	-20.57166	 0.029	 0.079	bcu II 	        	   233.19	N	  16.200	17.777	
J0556.0-4353 	  0	SUMSS J055618-435146      	089.07812	-43.86281	 0.054	 0.089	bll    	        	    28.30	S	        	18.991	
J0558.1-3838 	  0	EXO 0556.4-3838           	089.52680	-38.64211	 0.010	 0.046	bll    	 0.30200	   105.78	N	 151.000	16.282	
J0558.6-7459 	  0	PKS 0600-749              	089.69183	-74.98478	 0.013	 0.053	bll    	        	   242.80	S	        	17.367	
J0600.9-3943 	  0	PKS 0558-396              	090.13091	-39.61728	 0.130	 0.171	fsrq   	 1.66100	   461.75	N	   7.780	18.965	
J0601.2-7036 	  0	PKS 0601-70               	090.29687	-70.60244	 0.008	 0.029	fsrq   	 2.40900	   217.10	S	        	      	
J0602.2+5314 	  0	GB6 J0601+5315            	090.50186	+53.26668	 0.048	 0.053	bcu I  	 0.05200	    39.53	N	 114.000	12.945	
J0602.8-4016 	  0	SUMSS J060251-401845      	090.71304	-40.31269	 0.040	 0.038	bcu II 	        	    74.60	S	   9.200	16.702	
J0604.1-4817 	  0	1ES 0602-482              	091.03592	-48.28986	 0.004	 0.043	bll    	        	    32.30	S	  80.300	17.002	
J0604.7-4849 	  0	1RXS J060432.7-485007     	091.13758	-48.82978	 0.031	 0.100	bcu II 	        	   239.00	S	   3.960	20.129	
J0606.4-4729 	  0	ESO 254-G017              	091.64889	-47.49857	 0.030	 0.078	bcu II 	        	   286.30	S	  66.200	 9.055	
J0607.4+4739 	  0	TXS 0603+476              	091.84690	+47.66304	 0.013	 0.028	bll    	        	   380.59	N	        	17.050	
J0608.0-0835 	  0	PKS 0605-08               	091.99875	-08.58055	 0.015	 0.044	fsrq   	 0.87200	  1905.82	N	  11.100	16.354	
J0608.1-1522 	  0	PMN J0608-1520            	092.00638	-15.34361	 0.043	 0.064	fsrq   	 1.09400	   279.18	N	        	      	
J0609.4-0248 	  0	NVSS J060915-024754       	092.31278	-02.79852	 0.040	 0.039	bll    	        	    61.96	N	  14.300	17.502	
J0611.1-6100 	  0	PKS 0609-609              	092.62623	-60.97716	 0.087	 0.118	fsrq   	 1.77300	   353.40	S	   4.480	20.152	
J0611.2+4323 	  0	NVSS J061107+432404       	092.77950	+43.40133	 0.030	 0.059	bcu II 	        	    44.10	N	  16.900	      	
J0612.8+4122 	  0	B3 0609+413               	093.21327	+41.37706	 0.007	 0.019	bll    	        	   248.35	N	        	16.021	
J0615.4-3116 	  0	PKS 0613-312              	093.83005	-31.28933	 0.032	 0.070	bll    	        	   173.61	N	        	18.857	
J0617.2+5701 	  0	87GB 061258.1+570222      	094.32051	+57.02123	 0.012	 0.031	bll    	        	   463.15	N	        	16.442	
J0617.6-1717 	  0	CRATES J061733.67-171522.8	094.38924	-17.25697	 0.045	 0.040	bll    	 0.09800	   364.40	N	        	13.146	
J0618.0+7819 	  0	1REX J061757+7816.1       	094.48722	+78.26872	 0.055	 0.072	fsrq   	 1.43000	   157.03	N	        	19.625	
J0618.2-2429 	  0	PMN J0618-2426            	094.59440	-24.44387	 0.057	 0.124	bcu II 	        	   552.33	N	        	17.658	
J0618.9-1138 	  0	TXS 0616-116              	094.76709	-11.68191	 0.049	 0.132	bcu I  	 0.97000	   508.40	N	        	      	
J0622.4-2606 	  0	PMN J0622-2605            	095.59193	-26.09573	 0.025	 0.037	bll    	 0.41449	   106.54	N	  38.000	17.633	
J0625.2+4440 	  0	GB6 J0625+4440            	096.32611	+44.66712	 0.014	 0.040	bll    	        	   122.83	N	        	18.279	16.730
J0626.0-5436 	  0	PMN J0625-5438            	096.46763	-54.64742	 0.051	 0.158	fsrq   	 2.05100	   282.30	S	        	18.879	
J0626.6-4259 	  0	1RXS J062635.9-425810     	096.65296	-42.96831	 0.031	 0.065	bcu III	        	    14.10	S	   7.840	18.182	
J0627.0-3529 	  0	PKS 0625-35               	096.77804	-35.48759	 0.005	 0.033	rdg    	 0.05494	  2372.66	N	 150.000	 9.515	
J0627.9-1517 	  0	NVSS J062753-152003       	096.97175	-15.33437	 0.039	 0.099	bcu III	        	    43.38	N	  42.200	      	
J0629.0-6248 	  0	PKS 0628-627              	097.23953	-62.81243	 0.016	 0.082	bll    	        	   528.00	S	        	20.897	
J0629.4-1959 	  0	PKS 0627-199              	097.34901	-19.98881	 0.009	 0.028	bll    	 1.72400	   677.03	N	        	20.529	
J0630.3+6906 	  0	GB6 J0629+6900            	097.34264	+69.00552	 0.138	 0.194	bcu II 	        	    43.77	N	        	17.279	
J0630.9-2406 	  0	TXS 0628-240              	097.74801	-24.11283	 0.003	 0.019	bll    	 1.23800	   105.82	N	  36.400	16.472	
J0634.7-2334 	  0	PMN J0634-2335            	098.74584	-23.58665	 0.064	 0.155	fsrq   	 1.53500	   566.71	N	        	      	
J0635.7-7517 	  0	PKS 0637-75               	098.94378	-75.27134	 0.021	 0.061	fsrq   	 0.65300	  5377.00	S	  79.200	15.900	
J0638.6+7324 	  0	S5 0633+73                	099.84151	+73.41612	 0.054	 0.112	fsrq   	 1.85000	   903.70	N	        	18.238	
J0643.4-5358 	  0	PMN J0643-5358            	100.83375	-53.97953	 0.012	 0.089	bcu II 	        	    51.10	S	        	      	
J0644.3-6713 	  0	PKS 0644-671              	101.11685	-67.21593	 0.013	 0.020	bcu II 	        	   222.80	S	        	      	
J0644.6-2853 	  0	1RXS J064444.2-285120     	101.18248	-28.85469	 0.046	 0.079	bcu II 	        	    53.47	N	  62.400	18.235	
J0645.9-3914 	  0	PKS 0644-390              	101.62884	-39.06086	 0.207	 0.427	fsrq   	 0.68100	   314.94	N	        	18.253	
J0646.4-5452 	  0	PMN J0646-5451            	101.61933	-54.85461	 0.026	 0.115	bcu II 	        	   527.40	S	        	      	
J0647.0-5134 	  0	1ES 0646-515              	101.79075	-51.59700	 0.031	 0.146	bcu II 	        	    70.80	S	 301.000	16.649	
J0647.1-4415 	  0	SUMSS J064648-441929      	101.70218	-44.32484	 0.085	 0.121	bcu II 	        	    48.50	S	        	20.180	
J0647.6-6058 	  0	PMN J0647-6058            	101.92022	-60.96807	 0.006	 0.048	bcu I  	        	   110.30	S	        	      	
J0648.1-3045 	  0	PKS 0646-306              	102.05874	-30.73879	 0.027	 0.078	fsrq   	 1.15300	   898.56	N	        	18.905	
J0649.6-3138 	  0	1RXS J064933.8-313914     	102.38911	-31.65479	 0.022	 0.037	bcu II 	        	     7.53	N	 142.000	18.822	
J0650.7+2503 	  1	1ES 0647+250              	102.69371	+25.04990	 0.014	 0.021	bll    	 0.20300	    96.79	N	 423.000	15.820	
J0651.3+4014 	  0	RX J0651.0+4013           	102.77265	+40.22716	 0.047	 0.069	bcu II 	        	    32.20	N	  35.600	17.417	
J0652.0-4808 	  0	1RXS J065201.0-480858     	103.00175	-48.14986	 0.018	 0.064	bcu II 	        	    71.70	S	  25.200	18.536	
J0653.6+2817 	  0	GB6 J0653+2816            	103.43449	+28.26314	 0.033	 0.058	bcu II 	        	    33.58	N	        	17.798	16.510
J0654.4+4514 	  0	B3 0650+453               	103.59881	+45.23987	 0.008	 0.027	fsrq   	 0.93300	   382.93	N	        	      	
J0654.4+5042 	  0	GB6 J0654+5042            	103.59205	+50.70663	 0.012	 0.032	fsrq   	 1.25300	   197.96	N	        	15.655	
J0656.4+4232 	  0	4C +42.22                 	104.04443	+42.61743	 0.086	 0.082	bll    	 0.05900	   933.72	N	  37.600	10.982	
J0658.3-5832 	  0	PMN J0658-5824            	104.53858	-58.41786	 0.132	 0.174	bcu II 	        	   388.00	S	        	20.881	
J0658.3-5832 	  0	PMN J0658-5840            	104.55741	-58.67432	 0.128	 0.174	bcu II 	        	   436.40	S	        	14.765	
J0700.3-6310 	  0	SUMSS J065958-631238      	104.99450	-63.21072	 0.050	 0.076	bcu II 	        	    55.70	S	        	      	
J0700.6-6610 	  0	PKS 0700-661              	105.13022	-66.17923	 0.013	 0.023	bll    	        	   294.50	S	  12.600	15.195	
J0701.4-4634 	  0	PKS 0700-465              	105.39394	-46.57684	 0.030	 0.051	fsrq   	 0.82200	   477.40	S	   8.690	19.054	
J0703.4-3914 	  0	1RXS J070312.7-391417     	105.80268	-39.23858	 0.045	 0.071	bcu II 	        	    37.10	N	   5.000	17.127	
J0706.1-4849 	  0	PMN J0705-4847            	106.49472	-48.79015	 0.046	 0.099	bcu II 	        	   192.80	S	        	      	
J0706.5+3744 	  0	GB6 J0706+3744            	106.63207	+37.74345	 0.006	 0.026	bll    	        	    27.44	N	  18.500	17.165	
J0707.0+7741 	  0	NVSS J070651+774137       	106.71389	+77.69361	 0.010	 0.030	bll    	        	    38.14	N	        	17.751	
J0707.2+6101 	  0	TXS 0702+612              	106.75236	+61.16960	 0.143	 0.309	bll    	        	   425.20	N	        	16.875	
J0708.9+2239 	  0	GB6 J0708+2241            	107.24287	+22.69319	 0.027	 0.084	bcu II 	        	    40.68	N	  19.400	17.471	
J0710.3+5908 	  1	1H 0658+595               	107.62528	+59.13899	 0.023	 0.032	bll    	 0.12500	   159.29	N	 325.000	14.816	
J0710.5+4732 	  0	S4 0707+47                	107.69210	+47.53643	 0.045	 0.142	bll    	 1.29200	  1019.41	N	        	14.131	
J0712.2-6436 	  0	MRC 0712-643              	108.25692	-64.48589	 0.153	 0.128	bcu II 	        	  1399.00	S	   4.480	19.894	
J0712.6+5033 	  0	GB6 J0712+5033            	108.18201	+50.55631	 0.007	 0.035	bll    	 0.50200	   189.46	N	        	19.160	
J0713.9+1933 	  0	MG2 J071354+1934          	108.48200	+19.58345	 0.028	 0.039	fsrq   	 0.54000	   219.29	N	        	18.746	
J0718.7-4319 	  0	PMN J0718-4319            	109.68178	-43.33048	 0.006	 0.022	bll    	        	    85.00	S	  11.300	17.180	
J0719.3+3307 	  0	B2 0716+33                	109.83092	+33.11936	 0.006	 0.019	fsrq   	 0.77900	   226.14	N	   6.110	17.924	
J0720.0-4010 	  0	1RXS J071939.2-401153     	109.91229	-40.19650	 0.081	 0.075	bcu II 	        	    64.90	S	  54.500	17.185	
J0721.9+7120 	  1	S5 0716+71                	110.47270	+71.34343	 0.006	 0.009	bll    	 0.12700	   727.30	N	  49.100	14.661	
J0723.7+2050 	  0	GB6 J0723+2051            	110.95141	+20.85856	 0.024	 0.090	bcu II 	        	    43.37	N	        	17.102	
J0724.1+2857 	  0	GB6 J0723+2859            	110.97849	+28.99163	 0.057	 0.136	fsrq   	 0.96600	    38.23	N	        	19.275	
J0725.2+1425 	  0	4C +14.23                 	111.32003	+14.42049	 0.011	 0.019	fsrq   	 1.03800	  1067.26	N	        	17.840	17.840
J0726.6-4727 	  0	PMN J0726-4728            	111.60933	-47.48149	 0.040	 0.088	fsrq   	 1.68600	   492.00	S	        	      	
J0728.0+4828 	  0	GB6 J0727+4827            	111.99933	+48.45564	 0.021	 0.118	bcu II 	        	    91.61	N	        	18.172	
J0730.3+6720 	  0	GB6 J0731+6718            	112.85585	+67.31308	 0.109	 0.153	fsrq   	 0.17000	    56.83	N	        	18.538	17.040
J0730.5+3307 	  0	1RXS J073026.0+330727     	112.60860	+33.12303	 0.016	 0.046	bll    	 0.11200	     9.30	N	  33.900	18.307	17.360
J0730.5-6606 	  0	PMN J0730-6602            	112.70650	-66.03858	 0.072	 0.061	bcu II 	        	    81.30	S	  59.800	15.132	
J0732.2-4638 	  0	PKS 0731-465              	113.18462	-46.67145	 0.087	 0.128	bcu II 	        	  1403.00	S	  27.100	20.270	
J0733.5+5153 	  0	4C +52.17                 	113.41267	+51.90584	 0.017	 0.083	agn    	        	   846.90	N	        	20.230	
J0733.5+5153 	  0	NVSS J073326+515355       	113.36163	+51.89887	 0.023	 0.083	bcu III	        	    25.00	N	        	11.939	
J0733.8+4108 	  0	GB6 J0733+4111            	113.44557	+41.18878	 0.050	 0.078	bll    	 0.67000	    24.27	N	        	17.757	17.740
J0733.8+5021 	  0	TXS 0730+504              	113.46884	+50.36918	 0.016	 0.068	fsrq   	 0.72000	   770.17	N	        	18.281	
J0734.3-7709 	  0	PKS 0736-770              	113.68092	-77.18708	 0.035	 0.051	bcu II 	        	   211.60	S	        	21.890	
J0738.1+1741 	  0	PKS 0735+17               	114.53081	+17.70528	 0.009	 0.017	bll    	 0.42400	  2258.27	N	  20.900	15.980	14.880
J0739.4+0137 	  0	PKS 0736+01               	114.82514	+01.61795	 0.027	 0.041	fsrq   	 0.18941	  1964.91	N	  63.600	16.226	
J0742.4-8133 	  0	SUMSS J074220-813139      	115.58808	-81.52672	 0.032	 0.060	bcu III	        	    17.60	S	        	19.767	
J0742.6+5444 	  0	GB6 J0742+5444            	115.66579	+54.74019	 0.007	 0.022	fsrq   	 0.72000	   281.63	N	   9.240	17.598	
J0742.6-5623 	  0	PMN J0743-5619            	115.83535	-56.32582	 0.111	 0.329	fsrq   	 2.31900	   669.80	S	        	19.436	
J0744.3+7434 	  0	MS 0737.9+7441            	116.02240	+74.56618	 0.023	 0.052	bll    	 0.31500	    23.41	N	 136.000	17.071	
J0746.4+2540 	  0	B2 0743+25                	116.60781	+25.81726	 0.143	 0.158	fsrq   	 2.97900	   427.09	N	   8.260	19.471	19.470
J0746.6-4756 	  0	PMN J0746-4755            	116.67558	-47.91531	 0.023	 0.039	bcu II 	        	   106.70	S	        	17.518	
J0746.9+8511 	  0	NVSS J074715+851208       	116.81730	+85.20240	 0.009	 0.048	bcu II 	        	    11.41	N	  11.800	18.863	
J0747.4+0904 	  0	RX J0747.3+0905           	116.84247	+09.09680	 0.038	 0.065	bll    	        	    40.43	N	  45.300	17.549	
J0748.3+2401 	  0	S3 0745+24                	117.15046	+24.00670	 0.055	 0.065	fsrq   	 0.40985	   958.09	N	  30.100	18.342	18.150
J0748.5+7910 	  0	JVAS J0750+7909           	117.68027	+79.15472	 0.105	 0.162	bcu II 	        	   181.57	N	        	      	
J0748.8+4929 	  0	NVSS J074837+493040       	117.15733	+49.51139	 0.047	 0.162	bcu II 	        	    35.41	N	        	20.053	19.240
J0749.4+1059 	  0	TXS 0746+110              	117.36411	+10.95920	 0.025	 0.128	bcu I  	 0.21400	   199.05	N	        	18.882	17.170
J0750.6+1232 	  0	OI 280                    	117.71686	+12.51801	 0.047	 0.068	fsrq   	 0.88900	  1486.98	N	        	17.196	17.170
J0753.1+5353 	  0	4C +54.15                 	118.25577	+53.88323	 0.017	 0.041	bll    	        	   803.82	N	   8.980	17.365	17.220
J0754.8+4824 	  0	GB1 0751+485              	118.69029	+48.39743	 0.018	 0.036	bll    	 0.37671	   265.06	N	  12.200	17.003	16.370
J0756.3-6433 	  0	SUMSS J075625-643031      	119.10253	-64.50847	 0.056	 0.064	bcu II 	        	    13.00	S	        	18.090	
J0757.0+0956 	  0	PKS 0754+100              	119.27768	+09.94301	 0.006	 0.035	bll    	 0.26600	   957.04	N	  22.800	16.501	14.640
J0758.1+1130 	  0	TXS 0755+117              	119.53191	+11.61279	 0.110	 0.126	fsrq   	 0.56879	   468.46	N	        	16.027	16.870
J0758.7+3747 	  0	NGC 2484                  	119.61712	+37.78661	 0.049	 0.096	rdg    	 0.04284	  2721.87	N	   8.230	 9.188	12.220
J0758.9+2705 	  0	SDSS J075846.99+270515.5  	119.69602	+27.08750	 0.028	 0.082	bll    	 0.09900	    54.25	N	        	15.956	16.430
J0800.9+4401 	  0	B3 0757+441               	120.28448	+44.01949	 0.029	 0.115	bll    	        	   228.78	N	        	20.043	19.140
J0802.0+1005 	  0	NVSS J080204+100639       	120.52034	+10.11099	 0.027	 0.061	bll    	 0.84159	     6.67	N	        	18.587	16.780
J0803.3-0339 	  0	TXS 0800-034              	120.80032	-03.60018	 0.070	 0.057	bcu II 	        	   232.19	N	        	18.463	
J0804.4+0418 	  0	MG1 J080357+0420          	120.98519	+04.35076	 0.130	 0.214	bcu II 	        	   318.68	N	        	18.621	19.140
J0805.0-0622 	  0	1RXS J080458.3-062432     	121.24051	-06.40739	 0.035	 0.060	bcu II 	        	    20.97	N	  76.100	17.853	
J0805.2-0112 	  0	PKS B0802-010             	121.30370	-01.18717	 0.029	 0.076	fsrq   	 1.38800	   473.78	N	        	18.181	16.750
J0805.4+6144 	  0	TXS 0800+618              	121.32575	+61.73992	 0.016	 0.106	fsrq   	 3.03300	   829.13	N	        	19.649	
J0805.4+7534 	  0	RX J0805.4+7534           	121.36103	+75.57362	 0.008	 0.024	bll    	 0.12100	    52.72	N	  71.000	15.633	
J0806.6+5933 	  0	SBS 0802+596              	121.60812	+59.51859	 0.051	 0.078	bll    	        	    61.05	N	  48.400	16.134	
J0807.1+7744 	  0	NVSS J080637+774607       	121.65586	+77.76869	 0.041	 0.120	bcu II 	        	   217.05	N	        	20.480	
J0807.1-0541 	  0	PKS 0804-05               	121.79007	-05.68720	 0.011	 0.037	bll    	        	   545.47	N	        	18.378	
J0807.9+4946 	  0	OJ 508                    	122.16528	+49.84348	 0.129	 0.196	fsrq   	 1.43400	  1115.08	N	        	14.738	14.290
J0807.9+4946 	  0	SDSS J080754.50+494627.6  	121.97860	+49.77450	 0.012	 0.196	fsrq   	 0.57531	   385.52	N	        	19.840	17.700
J0808.2-0751 	  0	PKS 0805-07               	122.06473	-07.85275	 0.007	 0.016	fsrq   	 1.83700	   767.00	A	        	17.150	17.060
J0809.5+4045 	  0	S4 0805+41                	122.23605	+40.87914	 0.172	 0.155	fsrq   	 1.41800	   584.56	N	        	17.263	18.720
J0809.5+5342 	  0	87GB 080551.6+535010      	122.42389	+53.69030	 0.025	 0.087	fsrq   	 2.13300	   140.97	N	        	      	19.650
J0809.6+3456 	  0	B2 0806+35                	122.41203	+34.92702	 0.015	 0.045	bll    	 0.08300	   223.52	N	  98.800	12.033	15.070
J0809.8+5218 	  1	1ES 0806+524              	122.45494	+52.31618	 0.008	 0.015	bll    	 0.13800	   182.94	N	 178.000	15.006	14.930
J0811.2-7529 	  0	PMN J0810-7530            	122.76336	-75.50773	 0.020	 0.023	bll    	        	   154.30	S	  13.100	17.080	
J0811.3+0146 	  0	OJ 014                    	122.86128	+01.78117	 0.013	 0.029	bll    	 1.14800	   599.50	N	        	17.876	18.610
J0812.0+0237 	  0	PMN J0811+0237            	123.00632	+02.62569	 0.003	 0.049	bll    	        	   123.43	N	 193.000	      	16.210
J0812.9+5555 	  0	NVSS J081251+555422       	123.21511	+55.90632	 0.031	 0.078	bll    	 0.38300	    27.01	N	        	18.312	17.740
J0813.3+6509 	  0	GB6 J0812+6508            	123.17117	+65.15307	 0.076	 0.111	bcu II 	        	    30.99	N	        	17.795	17.130
J0814.1-1012 	  0	NVSS J081411-101208       	123.54872	-10.20286	 0.007	 0.043	bll    	        	    36.87	N	  69.600	16.679	
J0814.5+2943 	  0	EXO 0811.2+2949           	123.58849	+29.67244	 0.072	 0.082	bll    	 1.08353	    28.83	N	        	19.207	17.900
J0814.7+6428 	  0	GB6 J0814+6431            	123.66329	+64.52278	 0.043	 0.030	bll    	 0.23900	    88.78	N	        	17.139	
J0816.4-1311 	  0	PMN J0816-1311            	124.11335	-13.19795	 0.008	 0.022	bll    	        	    72.13	N	 241.000	17.556	
J0816.5+2049 	  0	SDSS J081649.78+205106.4  	124.20742	+20.85179	 0.066	 0.113	bll    	        	    38.82	N	        	17.383	17.550
J0816.7+5739 	  0	SBS 0812+578              	124.09470	+57.65254	 0.048	 0.043	bll    	        	   100.07	N	  36.800	17.037	16.700
J0817.8-0935 	  0	TXS 0815-094              	124.45729	-09.55848	 0.033	 0.038	bll    	        	   467.65	N	        	18.180	
J0818.2+4223 	  0	S4 0814+42                	124.56667	+42.37928	 0.020	 0.018	bll    	 0.53000	  1091.34	N	   7.850	18.405	17.390
J0818.8+2751 	  0	5C 07.119                 	124.82857	+27.79186	 0.119	 0.167	bll    	        	   234.46	N	        	19.075	18.180
J0820.4+3640 	  0	MG2 J082018+3640          	125.08412	+36.66791	 0.035	 0.097	bll    	        	    94.38	N	        	18.790	18.250
J0820.9-1258 	  0	PKS 0818-128              	125.23937	-12.98310	 0.010	 0.092	bll    	        	  1096.61	N	  23.400	16.395	
J0822.9+4041 	  0	B3 0819+408               	125.73982	+40.69716	 0.003	 0.088	fsrq   	 0.86550	   344.97	N	        	19.412	18.750
J0824.1+2434 	  0	B2 0821+24                	126.13754	+24.64531	 0.115	 0.139	fsrq   	 1.24200	   262.00	N	        	19.263	18.470
J0824.9+3916 	  0	4C +39.23                 	126.23118	+39.27831	 0.014	 0.097	fsrq   	 1.21600	  1481.40	N	  30.400	17.458	17.370
J0824.9+3916 	  0	4C +39.23B                	126.34868	+39.32937	 0.093	 0.097	css    	        	  1199.20	N	        	      	
J0824.9+5551 	  0	OJ 535                    	126.19682	+55.87852	 0.028	 0.073	fsrq   	 1.41700	  1449.97	N	        	17.820	17.900
J0825.4-0213 	  0	PMN J0825-0204            	126.32121	-02.07853	 0.156	 0.295	bcu III	        	   106.18	N	        	      	
J0826.0+0307 	  0	PKS 0823+033              	126.45974	+03.15681	 0.068	 0.080	bll    	 0.50600	  1400.74	N	  33.900	15.420	15.460
J0827.2-0711 	  0	PMN J0827-0708            	126.77544	-07.14626	 0.055	 0.070	bcu I  	 0.24700	   174.14	N	  65.500	15.931	
