#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-25T22:14:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b58cf1a11f61	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/ApJS/218/23/table4
#-nav=cat:J/ApJS/218/23&tab:{J/ApJS/218/23/table4}&key:source=J/ApJS/218/23/table4&HTTPPRM:&&-ref=VIZ5b58cf1a11f61&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=3FGL&-out=LC&-ignore=LC=*&LC=LC&-out=Na&-out=Sp&-out=RAJ2000&-out=DEJ2000&-out=amaj&-out=amin&-out=phi&-out=Sig&-out=F35&-out=S25&-out=Gamma&-out=Mod&-out=Var&-out=Flag&-out=Assoc&-out=TeV&-out=Class&-out=ID&-out=Simbad&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/218/23/table4
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/218/23/table4
#-out=3FGL
#-out=LC
#-out=Na
#-out=Sp
#-out=RAJ2000
#-out=DEJ2000
#-out=amaj
#-out=amin
#-out=phi
#-out=Sig
#-out=F35
#-out=S25
#-out=Gamma
#-out=Mod
#-out=Var
#-out=Flag
#-out=Assoc
#-out=TeV
#-out=Class
#-out=ID
#-out=Simbad
#

#RESOURCE=yCat_22180023
#Name: J/ApJS/218/23
#Title: Fermi LAT third source catalog (3FGL) (Acero+, 2015)
#Table	J_ApJS_218_23_table4:
#Name: J/ApJS/218/23/table4
#Title: LAT 4-year catalog
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	3FGL	(A13)	The 3FGL name (1)	[ucd=meta.id;meta.main]
#Column	LC	(A2)	Display the 3FGL light curves image for this object from the Fermi SSC site (updated weekly)	[ucd=meta.ref.url]
#Column	Na	(I3)	Simbad column added by the CDS [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Sp	(I1)	Number of spectral analyses for this source (table8) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	RAJ2000	(F7.3)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F6.3)	[0.005/1.1]? 95% confidence error ellipse semimajor axis	[ucd=phys.angSize.smajAxis;pos.errorEllipse]
#Column	amin	(F6.3)	[0.005/0.6]? 95% confidence error ellipse semiminor axis	[ucd=phys.angSize.sminAxis;pos.errorEllipse]
#Column	phi	(I3)	[-90/90]? Position angle {phi} of error ellipse (East of North) [NULL integer written as an empty string]	[ucd=pos.posAng]
#Column	Sig	(F6.1)	[4/1049]? Significance (2)	[ucd=stat.fit.goodness]
#Column	F35	(F6.1)	[0/1298] Photon flux summed over 3 bands 1-100GeV (10^-9^ph/cm^2^/s)	[ucd=phot.count;em.gamma.hard]
#Column	S25	(F6.1)	[1.7/8932] Energy flux for 100MeV-100GeV from power-law fit (10^-12^erg/s/cm^2^)	[ucd=phot.flux.density;em.gamma.hard]
#Column	Gamma	(F5.2)	[1.1/5.8] Photon power-law index {Gamma} for 100MeV-100GeV	[ucd=meta.code;spect.index]
#Column	Mod	(A2)	Spectral model used to fit the energy spectrum (PL, EC or LP) (3)	[ucd=instr.setup;meta.modelled]
#Column	Var	(A1)	[T] Variability flag, T=true (4)	[ucd=meta.code;src.var]
#Column	Flag	(a12)	Analysis flag(s); see Table 3	[ucd=meta.code.error]
#Column	Assoc	(A18)	The {gamma}-ray association (5)	[ucd=meta.id.assoc]
#Column	TeV	(A1)	[EP] Extended or Point-like source (6)	[ucd=meta.code]
#Column	Class	(A5)	Astrophysical class of source (7)	[ucd=src.class]
#Column	ID	(a26)	Designator of identified or associated source (8)	[ucd=meta.id.assoc]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
_RAJ2000	_DEJ2000	3FGL	LC	Na	Sp	RAJ2000	DEJ2000	amaj	amin	phi	Sig	F35	S25	Gamma	Mod	Var	Flag	Assoc	TeV	Class	ID	Simbad
064.77800	+66.60500	J0419.1+6636 	LC	  1	0	064.778	+66.605	 0.054	 0.049	-58	  14.5	   1.3	  15.4	 2.31	PL	 	10          	2FGL J0418.9+6636 	 	     	                          	Simbad
065.11400	+14.80900	J0420.4+1448 	LC	  1	0	065.114	+14.809	 0.253	 0.186	-40	   4.4	   0.3	   6.8	 2.87	PL	 	            	                  	 	     	                          	Simbad
065.12000	-60.22700	J0420.4-6013 	LC	  1	0	065.120	-60.227	 0.076	 0.065	-40	   6.1	   0.3	   3.1	 1.85	PL	 	            	                  	 	     	                          	Simbad
065.16400	-37.71500	J0420.6-3742 	LC	  1	0	065.164	-37.715	 0.076	 0.064	 34	  10.5	   0.6	   7.9	 2.34	PL	 	            	2FGL J0420.9-3743 	 	     	                          	Simbad
065.40400	+19.84700	J0421.6+1950 	LC	  1	0	065.404	+19.847	 0.118	 0.107	 59	   6.1	   0.6	   7.5	 2.33	PL	 	            	                  	 	     	                          	Simbad
065.54500	-06.71100	J0422.1-0642 	LC	  2	0	065.545	-06.711	 0.108	 0.086	-24	   8.9	   0.5	   7.0	 2.41	PL	 	            	2FGL J0422.1-0645 	 	fsrq 	PMN J0422-0643            	Simbad
065.54500	-06.71100	J0422.1-0642 	LC	  2	0	065.545	-06.711	 0.108	 0.086	-24	   8.9	   0.5	   7.0	 2.41	PL	 	            	1FGL J0422.0-0647 	 	     	                          	Simbad
065.82500	-01.33200	J0423.2-0119 	LC	  5	0	065.825	-01.332	 0.021	 0.021	-66	  56.1	   5.6	  59.6	 2.30	LP	T	            	1FHL J0423.3-0121 	 	FSRQ 	PKS 0420-01               	Simbad
065.82500	-01.33200	J0423.2-0119 	LC	  5	0	065.825	-01.332	 0.021	 0.021	-66	  56.1	   5.6	  59.6	 2.30	LP	T	            	2FGL J0423.2-0120 	 	     	                          	Simbad
065.82500	-01.33200	J0423.2-0119 	LC	  5	0	065.825	-01.332	 0.021	 0.021	-66	  56.1	   5.6	  59.6	 2.30	LP	T	            	1FGL J0423.2-0118 	 	     	                          	Simbad
065.82500	-01.33200	J0423.2-0119 	LC	  5	0	065.825	-01.332	 0.021	 0.021	-66	  56.1	   5.6	  59.6	 2.30	LP	T	            	0FGL J0423.1-0112 	 	     	                          	Simbad
065.82500	-01.33200	J0423.2-0119 	LC	  5	0	065.825	-01.332	 0.021	 0.021	-66	  56.1	   5.6	  59.6	 2.30	LP	T	            	3EG J0422-0102    	 	     	                          	Simbad
065.90000	+54.70600	J0423.5+5442 	LC	  1	0	065.900	+54.706	 0.150	 0.112	 80	   4.4	   0.7	  12.9	 2.63	PL	 	            	                  	 	     	                          	Simbad
065.96800	+41.83300	J0423.8+4150 	LC	  3	0	065.968	+41.833	 0.022	 0.021	-85	  28.0	   2.9	  33.9	 1.89	PL	 	            	1FHL J0423.8+4151 	 	bll  	4C +41.11                 	Simbad
065.96800	+41.83300	J0423.8+4150 	LC	  3	0	065.968	+41.833	 0.022	 0.021	-85	  28.0	   2.9	  33.9	 1.89	PL	 	            	2FGL J0423.8+4149 	 	     	                          	Simbad
065.96800	+41.83300	J0423.8+4150 	LC	  3	0	065.968	+41.833	 0.022	 0.021	-85	  28.0	   2.9	  33.9	 1.89	PL	 	            	1FGL J0423.8+4148 	 	     	                          	Simbad
066.17800	+00.59500	J0424.7+0035 	LC	  2	0	066.178	+00.595	 0.042	 0.042	-69	  22.0	   1.9	  21.3	 2.20	PL	T	            	2FGL J0424.7+0034 	 	bll  	PKS 0422+00               	Simbad
066.17800	+00.59500	J0424.7+0035 	LC	  2	0	066.178	+00.595	 0.042	 0.042	-69	  22.0	   1.9	  21.3	 2.20	PL	T	            	1FGL J0424.8+0036 	 	     	                          	Simbad
066.26600	-53.51800	J0425.0-5331 	LC	  1	0	066.266	-53.518	 0.054	 0.052	 28	  15.4	   0.7	   9.3	 2.34	PL	 	            	2FGL J0424.3-5332 	 	bll  	PMN J0425-5331            	Simbad
066.32400	+63.32100	J0425.2+6319 	LC	  1	0	066.324	+63.321	 0.041	 0.038	-59	   8.5	   0.6	   6.5	 1.96	PL	 	            	1FHL J0425.3+6320 	 	bcu  	1RXS J042523.0+632016     	Simbad
066.45200	+56.01400	J0425.8+5600 	LC	  1	0	066.452	+56.014	 0.063	 0.052	-60	   6.3	   0.7	   8.3	 2.35	PL	 	3           	1FHL J0425.4+5601 	 	     	                          	Simbad
066.58800	+35.17000	J0426.3+3510 	LC	  1	0	066.588	+35.170	 0.259	 0.168	-43	   4.4	   0.5	   6.6	 2.49	PL	 	            	                  	 	     	                          	Simbad
066.59000	+68.45800	J0426.3+6827 	LC	  1	0	066.590	+68.458	 0.070	 0.069	-47	   7.1	   0.5	   6.4	 2.38	PL	 	            	                  	 	bcu  	4C +68.05                 	Simbad
066.67400	+04.99300	J0426.6+0459 	LC	  1	0	066.674	+04.993	 0.152	 0.110	-54	   7.9	   0.6	  10.1	 2.56	PL	 	            	2FGL J0426.6+0509c	 	bcu  	4C +04.15                 	Simbad
066.68100	+54.61700	J0426.7+5437 	LC	  2	0	066.681	+54.617	 0.071	 0.068	 35	  14.2	   2.3	  21.3	 2.48	LP	 	            	2FGL J0426.7+5434 	 	     	                          	Simbad
066.68100	+54.61700	J0426.7+5437 	LC	  2	0	066.681	+54.617	 0.071	 0.068	 35	  14.2	   2.3	  21.3	 2.48	LP	 	            	1FGL J0426.5+5437 	 	     	                          	Simbad
066.83600	-39.00600	J0427.3-3900 	LC	  1	0	066.836	-39.006	 0.082	 0.072	 43	  14.7	   1.0	  18.2	 2.67	PL	T	            	                  	 	bcu  	PMN J0427-3900            	Simbad
066.98200	-67.07800	J0427.9-6704 	LC	  1	0	066.982	-67.078	 0.070	 0.068	-27	  13.9	   0.7	   9.4	 2.46	PL	 	            	2FGL J0427.2-6705 	 	     	                          	Simbad
067.16800	-37.93600	J0428.6-3756 	LC	  4	0	067.168	-37.936	 0.010	 0.010	-44	 135.6	  20.1	 184.0	 2.04	LP	T	            	1FHL J0428.7-3756 	 	bll  	PKS 0426-380              	Simbad
067.16800	-37.93600	J0428.6-3756 	LC	  4	0	067.168	-37.936	 0.010	 0.010	-44	 135.6	  20.1	 184.0	 2.04	LP	T	            	2FGL J0428.6-3756 	 	     	                          	Simbad
067.16800	-37.93600	J0428.6-3756 	LC	  4	0	067.168	-37.936	 0.010	 0.010	-44	 135.6	  20.1	 184.0	 2.04	LP	T	            	1FGL J0428.6-3756 	 	     	                          	Simbad
067.16800	-37.93600	J0428.6-3756 	LC	  4	0	067.168	-37.936	 0.010	 0.010	-44	 135.6	  20.1	 184.0	 2.04	LP	T	            	0FGL J0428.7-3755 	 	     	                          	Simbad
067.45200	+28.72300	J0429.8+2843 	LC	  1	0	067.452	+28.723	 0.069	 0.056	-83	   6.2	   0.6	   6.7	 1.96	PL	 	            	                  	 	bcu  	MG2 J042948+2843          	Simbad
067.46900	+36.19500	J0429.8+3611c	LC	  1	0	067.469	+36.195	 0.314	 0.227	 83	   4.7	   0.7	   8.8	 2.37	PL	 	4,5,6       	                  	 	     	                          	Simbad
067.54300	-31.06600	J0430.1-3103 	LC	  1	0	067.543	-31.066	 0.104	 0.094	-25	   4.9	   0.2	   2.6	 1.97	PL	 	            	                  	 	     	                          	Simbad
067.55200	-25.13700	J0430.2-2508 	LC	  2	0	067.552	-25.137	 0.089	 0.067	 18	   7.6	   0.4	   5.1	 2.19	PL	 	            	2FGL J0430.4-2507 	 	bll  	PMN J0430-2507            	Simbad
067.55200	-25.13700	J0430.2-2508 	LC	  2	0	067.552	-25.137	 0.089	 0.067	 18	   7.6	   0.4	   5.1	 2.19	PL	 	            	1FGL J0430.4-2509 	 	     	                          	Simbad
067.62600	+16.92700	J0430.5+1655 	LC	  1	0	067.626	+16.927	 0.079	 0.061	 47	   9.2	   0.8	  10.7	 2.40	PL	 	            	                  	 	bcu  	MG1 J043022+1655          	Simbad
067.90300	+74.05800	J0431.6+7403 	LC	  1	0	067.903	+74.058	 0.046	 0.039	 30	  12.0	   0.6	   6.9	 1.99	PL	 	            	                  	 	bcu  	GB6 J0431+7403            	Simbad
067.93100	+35.05600	J0431.7+3503 	LC	  1	0	067.931	+35.056	 0.226	 0.189	-55	   7.9	   0.9	  10.7	 2.51	LP	 	3           	                  	 	     	                          	Simbad
068.13600	+05.66100	J0432.5+0539 	LC	  1	0	068.136	+05.661	 0.166	 0.137	-35	   6.1	   0.4	   8.1	 2.69	PL	 	            	                  	 	     	                          	Simbad
068.29200	+32.47800	J0433.1+3228 	LC	  2	0	068.292	+32.478	 0.060	 0.051	-90	   6.7	   0.5	   5.3	 1.97	PL	 	            	2FGL J0433.7+3233 	 	bcu  	NVSS J043307+322840       	Simbad
068.29200	+32.47800	J0433.1+3228 	LC	  2	0	068.292	+32.478	 0.060	 0.051	-90	   6.7	   0.5	   5.3	 1.97	PL	 	            	1FGL J0433.5+3230 	 	     	                          	Simbad
068.41800	+29.09000	J0433.6+2905 	LC	  5	0	068.418	+29.090	 0.021	 0.020	 73	  29.1	   3.7	  41.4	 2.02	PL	T	            	1FHL J0433.5+2905 	 	bll  	MG2 J043337+2905          	Simbad
068.41800	+29.09000	J0433.6+2905 	LC	  5	0	068.418	+29.090	 0.021	 0.020	 73	  29.1	   3.7	  41.4	 2.02	PL	T	            	2FGL J0433.5+2905 	 	     	                          	Simbad
068.41800	+29.09000	J0433.6+2905 	LC	  5	0	068.418	+29.090	 0.021	 0.020	 73	  29.1	   3.7	  41.4	 2.02	PL	T	            	1FGL J0433.5+2905 	 	     	                          	Simbad
068.41800	+29.09000	J0433.6+2905 	LC	  5	0	068.418	+29.090	 0.021	 0.020	 73	  29.1	   3.7	  41.4	 2.02	PL	T	            	3EG J0433+2908    	 	     	                          	Simbad
068.41800	+29.09000	J0433.6+2905 	LC	  5	0	068.418	+29.090	 0.021	 0.020	 73	  29.1	   3.7	  41.4	 2.02	PL	T	            	EGR J0433+2906    	 	     	                          	Simbad
068.42900	-60.48200	J0433.7-6028 	LC	  1	0	068.429	-60.482	 0.068	 0.064	-84	  16.1	   0.8	  11.8	 2.51	PL	T	            	2FGL J0433.4-6029 	 	bcu  	PKS 0432-606              	Simbad
068.51400	-20.16700	J0434.0-2010 	LC	  2	0	068.514	-20.167	 0.113	 0.093	 17	   8.3	   0.5	   6.0	 2.20	PL	 	            	2FGL J0434.1-2014 	 	bll  	TXS 0431-203              	Simbad
068.51400	-20.16700	J0434.0-2010 	LC	  2	0	068.514	-20.167	 0.113	 0.093	 17	   8.3	   0.5	   6.0	 2.20	PL	 	            	1FGL J0434.1-2018 	 	     	                          	Simbad
068.50900	-57.44200	J0434.0-5726 	LC	  2	0	068.509	-57.442	 0.067	 0.061	 26	  10.0	   0.5	   5.4	 2.00	PL	 	            	1FHL J0434.1-5725 	 	bcu  	SUMSS J043344-572613      	Simbad
068.50900	-57.44200	J0434.0-5726 	LC	  2	0	068.509	-57.442	 0.067	 0.061	 26	  10.0	   0.5	   5.4	 2.00	PL	 	            	2FGL J0433.9-5726 	 	     	                          	Simbad
068.57700	-14.19700	J0434.3-1411c	LC	  1	0	068.577	-14.197	 0.140	 0.123	 18	   5.1	   0.4	   5.4	 2.48	PL	 	1,6         	                  	 	     	                          	Simbad
068.62300	-23.69400	J0434.4-2341 	LC	  1	0	068.623	-23.694	 0.115	 0.103	-64	   7.2	   0.4	   5.3	 2.35	PL	 	            	2FGL J0435.1-2341 	 	bcu  	PMN J0434-2342            	Simbad
068.66600	+09.36000	J0434.6+0921 	LC	  1	0	068.666	+09.360	 0.162	 0.107	-10	   6.6	   0.6	   6.2	 2.11	PL	 	            	                  	 	bcu  	TXS 0431+092              	Simbad
069.30500	-47.22800	J0437.2-4713 	LC	  2	0	069.305	-47.228	 0.045	 0.044	-50	  34.5	   2.2	  17.9	 2.31	EC	 	            	2FGL J0437.3-4712 	 	PSR  	PSR J0437-4715            	Simbad
069.30500	-47.22800	J0437.2-4713 	LC	  2	0	069.305	-47.228	 0.045	 0.044	-50	  34.5	   2.2	  17.9	 2.31	EC	 	            	1FGL J0437.2-4715 	 	     	                          	Simbad
069.43900	-73.51500	J0437.7-7330 	LC	  1	0	069.439	-73.515	 0.092	 0.073	 65	   6.6	   0.4	   4.1	 2.10	PL	 	            	2FGL J0438.0-7331 	 	     	                          	Simbad
069.58300	-12.98200	J0438.3-1258 	LC	  2	0	069.583	-12.982	 0.115	 0.091	 21	   5.7	   0.4	   4.2	 2.11	PL	 	            	2FGL J0439.0-1252 	 	fsrq 	PKS 0436-129              	Simbad
069.58300	-12.98200	J0438.3-1258 	LC	  2	0	069.583	-12.982	 0.115	 0.091	 21	   5.7	   0.4	   4.2	 2.11	PL	 	            	1FGL J0438.8-1250 	 	     	                          	Simbad
069.70200	-45.32200	J0438.8-4519 	LC	  1	0	069.702	-45.322	 0.064	 0.060	-23	  15.8	   0.8	  10.8	 2.39	PL	 	            	2FGL J0438.8-4521 	 	bll  	PKS 0437-454              	Simbad
069.90300	-31.98900	J0439.6-3159 	LC	  1	0	069.903	-31.989	 0.067	 0.057	 67	   6.4	   0.3	   3.4	 1.77	PL	 	            	                  	 	bcu  	1RXS J043931.4-320045     	Simbad
069.97700	-18.99900	J0439.9-1859 	LC	  3	0	069.977	-18.999	 0.043	 0.036	 59	  10.8	   0.5	   6.0	 1.92	PL	 	            	1FHL J0439.9-1858 	 	bcu  	PMN J0439-1900            	Simbad
069.97700	-18.99900	J0439.9-1859 	LC	  3	0	069.977	-18.999	 0.043	 0.036	 59	  10.8	   0.5	   6.0	 1.92	PL	 	            	2FGL J0439.8-1858 	 	     	                          	Simbad
069.97700	-18.99900	J0439.9-1859 	LC	  3	0	069.977	-18.999	 0.043	 0.036	 59	  10.8	   0.5	   6.0	 1.92	PL	 	            	1FGL J0439.8-1857 	 	     	                          	Simbad
070.09300	+14.73400	J0440.3+1444 	LC	  1	0	070.093	+14.734	 0.159	 0.114	-61	   7.4	   0.8	   9.9	 2.39	PL	 	            	2FGL J0440.4+1433 	 	bcu  	TXS 0437+145              	Simbad
070.08200	-25.01500	J0440.3-2500 	LC	  1	0	070.082	-25.015	 0.068	 0.066	 15	   4.7	   0.2	   2.2	 1.72	PL	 	1,3         	                  	 	bll  	RBS 0570                  	Simbad
070.21800	+27.85300	J0440.8+2751 	LC	  2	0	070.218	+27.853	 0.047	 0.043	-30	   7.4	   0.6	   6.3	 1.95	PL	 	            	2FGL J0440.9+2749 	 	bll  	B2 0437+27B               	Simbad
070.21800	+27.85300	J0440.8+2751 	LC	  2	0	070.218	+27.853	 0.047	 0.043	-30	   7.4	   0.6	   6.3	 1.95	PL	 	            	1FGL J0440.6+2748 	 	     	                          	Simbad
070.66200	-00.29900	J0442.6-0017 	LC	  5	0	070.662	-00.299	 0.032	 0.031	-61	  50.8	   3.5	  51.2	 2.50	PL	T	            	1FHL J0442.9-0017 	 	fsrq 	PKS 0440-00               	Simbad
070.66200	-00.29900	J0442.6-0017 	LC	  5	0	070.662	-00.299	 0.032	 0.031	-61	  50.8	   3.5	  51.2	 2.50	PL	T	            	2FGL J0442.7-0017 	 	     	                          	Simbad
070.66200	-00.29900	J0442.6-0017 	LC	  5	0	070.662	-00.299	 0.032	 0.031	-61	  50.8	   3.5	  51.2	 2.50	PL	T	            	1FGL J0442.7-0019 	 	     	                          	Simbad
070.66200	-00.29900	J0442.6-0017 	LC	  5	0	070.662	-00.299	 0.032	 0.031	-61	  50.8	   3.5	  51.2	 2.50	PL	T	            	3EG J0442-0033    	 	     	                          	Simbad
070.66200	-00.29900	J0442.6-0017 	LC	  5	0	070.662	-00.299	 0.032	 0.031	-61	  50.8	   3.5	  51.2	 2.50	PL	T	            	EGR J0442+0027    	 	     	                          	Simbad
071.13500	+34.42400	J0444.5+3425 	LC	  1	0	071.135	+34.424	 0.077	 0.071	-59	   4.6	   0.5	   5.6	 2.18	PL	 	            	                  	 	bcu  	B2 0441+34                	Simbad
071.17100	-60.21500	J0444.6-6012 	LC	  1	0	071.171	-60.215	 0.090	 0.079	-11	   6.5	   0.3	   3.6	 1.98	PL	 	            	1FGL J0445.2-6008 	 	fsrq 	PMN J0444-6014            	Simbad
071.79500	-25.67600	J0447.1-2540 	LC	  1	0	071.795	-25.676	 0.109	 0.096	 43	   7.1	   0.4	   5.2	 2.50	PL	 	            	                  	 	     	                          	Simbad
071.96600	-21.32900	J0447.8-2119 	LC	  1	0	071.966	-21.329	 0.223	 0.172	 35	   5.2	   0.3	   4.5	 2.55	PL	 	            	2FGL J0448.6-2118 	 	fsrq 	PKS 0446-212              	Simbad
072.15800	-16.53400	J0448.6-1632 	LC	  3	0	072.158	-16.534	 0.034	 0.033	 45	  15.8	   0.9	  10.7	 1.86	PL	 	            	1FHL J0448.5-1633 	 	bll  	RBS 0589                  	Simbad
072.15800	-16.53400	J0448.6-1632 	LC	  3	0	072.158	-16.534	 0.034	 0.033	 45	  15.8	   0.9	  10.7	 1.86	PL	 	            	2FGL J0448.5-1633 	 	     	                          	Simbad
072.15800	-16.53400	J0448.6-1632 	LC	  3	0	072.158	-16.534	 0.034	 0.033	 45	  15.8	   0.9	  10.7	 1.86	PL	 	            	1FGL J0448.5-1633 	 	     	                          	Simbad
072.25100	+11.35900	J0449.0+1121 	LC	  3	0	072.251	+11.359	 0.052	 0.050	 71	  35.6	   2.8	  42.0	 2.55	LP	T	            	2FGL J0448.9+1121 	 	fsrq 	PKS 0446+11               	Simbad
072.25100	+11.35900	J0449.0+1121 	LC	  3	0	072.251	+11.359	 0.052	 0.050	 71	  35.6	   2.8	  42.0	 2.55	LP	T	            	1FGL J0448.6+1118 	 	     	                          	Simbad
072.25100	+11.35900	J0449.0+1121 	LC	  3	0	072.251	+11.359	 0.052	 0.050	 71	  35.6	   2.8	  42.0	 2.55	LP	T	            	3EG J0450+1105    	 	     	                          	Simbad
072.36200	-43.83600	J0449.4-4350 	LC	  4	0	072.362	-43.836	 0.012	 0.011	-75	  96.5	  10.3	 123.1	 1.85	PL	T	            	1FHL J0449.4-4350 	P	bll  	PKS 0447-439              	Simbad
072.36200	-43.83600	J0449.4-4350 	LC	  4	0	072.362	-43.836	 0.012	 0.011	-75	  96.5	  10.3	 123.1	 1.85	PL	T	            	2FGL J0449.4-4350 	 	     	                          	Simbad
072.36200	-43.83600	J0449.4-4350 	LC	  4	0	072.362	-43.836	 0.012	 0.011	-75	  96.5	  10.3	 123.1	 1.85	PL	T	            	1FGL J0449.5-4350 	 	     	                          	Simbad
072.36200	-43.83600	J0449.4-4350 	LC	  4	0	072.362	-43.836	 0.012	 0.011	-75	  96.5	  10.3	 123.1	 1.85	PL	T	            	0FGL J0449.7-4348 	 	     	                          	Simbad
072.91600	+72.51800	J0451.6+7231 	LC	  1	0	072.916	+72.518	 0.125	 0.105	-31	   5.0	   0.2	   3.9	 2.65	PL	 	            	                  	 	     	                          	Simbad
072.94000	+57.37300	J0451.7+5722 	LC	  1	0	072.940	+57.373	 0.065	 0.063	-13	   6.0	   0.5	   6.7	 2.49	PL	 	4,10        	                  	 	     	                          	Simbad
073.31700	+63.36600	J0453.2+6321 	LC	  1	0	073.317	+63.366	 0.049	 0.040	 63	  10.5	   0.7	   8.8	 2.35	PL	 	            	                  	 	bcu  	NVSS J045312+632117       	Simbad
073.31400	-28.14700	J0453.2-2808 	LC	  2	0	073.314	-28.147	 0.060	 0.054	 68	  32.0	   1.4	  25.0	 2.63	PL	T	            	2FGL J0453.1-2807 	 	fsrq 	PKS 0451-28               	Simbad
073.31400	-28.14700	J0453.2-2808 	LC	  2	0	073.314	-28.147	 0.060	 0.054	 68	  32.0	   1.4	  25.0	 2.63	PL	T	            	1FGL J0453.2-2805 	 	     	                          	Simbad
073.65900	-68.43200	J0454.6-6825 	LC	  1	0	073.659	-68.432	 0.143	 0.122	-55	   6.3	   0.5	   5.4	 2.20	PL	 	            	                  	 	pwn  	PWN G279.8-35.8           	Simbad
073.94500	-46.28500	J0455.7-4617 	LC	  3	0	073.945	-46.285	 0.056	 0.054	-40	  30.0	   1.5	  22.8	 2.55	PL	T	            	2FGL J0456.1-4613 	 	fsrq 	PKS 0454-46               	Simbad
073.94500	-46.28500	J0455.7-4617 	LC	  3	0	073.945	-46.285	 0.056	 0.054	-40	  30.0	   1.5	  22.8	 2.55	PL	T	            	1FGL J0455.6-4618 	 	     	                          	Simbad
073.94500	-46.28500	J0455.7-4617 	LC	  3	0	073.945	-46.285	 0.056	 0.054	-40	  30.0	   1.5	  22.8	 2.55	PL	T	            	3EG J0458-4635    	 	     	                          	Simbad
074.06700	-69.40800	J0456.2-6924 	LC	  1	0	074.067	-69.408	 0.160	 0.105	 22	   9.9	   0.8	   9.3	 2.31	PL	 	            	2FGL J0455.8-6920 	 	     	LMC field                 	Simbad
074.08700	+27.04700	J0456.3+2702 	LC	  1	0	074.087	+27.047	 0.091	 0.078	-73	  10.6	   1.1	  15.7	 2.46	PL	T	            	2FGL J0456.5+2658 	 	bcu  	MG2 J045613+2702          	Simbad
074.09000	-31.52100	J0456.3-3131 	LC	  2	0	074.090	-31.521	 0.163	 0.126	  4	   9.0	   0.4	   6.2	 2.54	PL	T	            	2FGL J0456.5-3132 	 	fsrq 	PMN J0456-3135            	Simbad
074.09000	-31.52100	J0456.3-3131 	LC	  2	0	074.090	-31.521	 0.163	 0.126	  4	   9.0	   0.4	   6.2	 2.54	PL	T	            	1FGL J0456.4-3132 	 	     	                          	Simbad
074.26900	+06.72500	J0457.0+0643 	LC	  1	0	074.269	+06.725	 0.245	 0.173	 57	   4.9	   0.4	   5.7	 2.55	PL	 	            	1FGL J0457.9+0649 	 	fsrq 	4C +06.21                 	Simbad
074.26400	-23.41200	J0457.0-2324 	LC	  6	0	074.264	-23.412	 0.013	 0.013	 66	 161.1	  18.0	 176.4	 2.21	LP	T	9           	1FHL J0457.1-2326 	 	FSRQ 	PKS 0454-234              	Simbad
074.26400	-23.41200	J0457.0-2324 	LC	  6	0	074.264	-23.412	 0.013	 0.013	 66	 161.1	  18.0	 176.4	 2.21	LP	T	9           	2FGL J0457.0-2325 	 	     	                          	Simbad
074.26400	-23.41200	J0457.0-2324 	LC	  6	0	074.264	-23.412	 0.013	 0.013	 66	 161.1	  18.0	 176.4	 2.21	LP	T	9           	1FGL J0457.0-2325 	 	     	                          	Simbad
074.26400	-23.41200	J0457.0-2324 	LC	  6	0	074.264	-23.412	 0.013	 0.013	 66	 161.1	  18.0	 176.4	 2.21	LP	T	9           	0FGL J0457.1-2325 	 	     	                          	Simbad
074.26400	-23.41200	J0457.0-2324 	LC	  6	0	074.264	-23.412	 0.013	 0.013	 66	 161.1	  18.0	 176.4	 2.21	LP	T	9           	3EG J0456-2338    	 	     	                          	Simbad
